full_name_ingredient,name_ingredient_ru,format_ingredient_ru,category_ru,ingredient_format_cat,calories_kcal,moisture_per,protein_per,carbohydrate_per,fats_per,ash_g,fiber_g,cholesterol_mg,total_sugar_g,calcium_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,iron_mg,copper_mg,zinc_mg,manganese_mg,selenium_mcg,iodine_mcg,choline_mg,vitamin_a_mcg,vitamin_e_mg,vitamin_d_mcg,vitamin_b1_mg,vitamin_b2_mg,vitamin_b3_mg,vitamin_b5_mg,vitamin_b6_mg,vitamin_b9_mcg,vitamin_b12_mcg,vitamin_c_mg,vitamin_k_mcg,alpha_carotene_mcg,beta_carotene_mcg,beta_cryptoxanthin_mcg,lutein_zeaxanthin_mcg,lycopene_mcg,retinol_mcg,linoleic_acid_g,alpha_linolenic_acid_g,arachidonic_acid_g,epa_g,dha_g
"PORK,FRSH,VAR MEATS&BY-PRODUCTS,HEART,RAW",Свинина,Сердце,Мясо,Свинина — Сердце,118.0,76.21,17.27,1.33,4.36,0.84,0.0,131.0,0.0,5.0,169.0,19.0,56.0,294.0,4.68,0.408,2.8,0.063,10.4,0.0,0.0,8.0,0.63,0.0,0.613,1.185,6.765,2.515,0.39,0.0,3.79,5.3,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.77,0.08,0.27,0.0,0.0
"PORK,FRSH,VAR MEATS&BY-PRODUCTS,KIDNEYS,RAW",Свинина,Почки,Мясо,Свинина — Почки,100.0,80.06,16.46,0.0,3.25,1.17,0.0,319.0,0.0,9.0,204.0,17.0,121.0,229.0,4.89,0.622,2.75,0.123,190.0,0.0,0.0,59.0,0.0,0.0,0.34,1.697,8.207,3.13,0.44,0.0,8.49,13.3,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.17,0.01,0.08,0.0,0.0
"PORK,FRSH,VAR MEATS&BY-PRODUCTS,LIVER,RAW",Свинина,Печень,Мясо,Свинина — Печень,134.0,71.06,21.39,2.47,3.65,1.44,0.0,301.0,0.0,9.0,288.0,18.0,87.0,273.0,23.3,0.677,5.76,0.344,52.7,3.1,0.0,6502.0,0.0,0.0,0.283,3.005,15.301,6.65,0.69,0.0,26.0,25.3,0.0,0.0,0.0,0.0,0.0,0.0,6502.0,0.35,0.03,0.44,0.0,0.02
"PORK,FRSH,VAR MEATS&BY-PRODUCTS,STOMACH,RAW",Свинина,Желудок,Мясо,Свинина — Желудок,159.0,73.5,16.85,0.0,10.14,0.63,0.0,223.0,0.0,11.0,130.0,11.0,75.0,140.0,1.01,0.169,1.85,0.038,31.1,0.0,195.0,0.0,0.04,0.0,0.051,0.201,2.48,1.22,0.034,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.724,0.021,0.11,0.0,0.0
"PORK,FRSH,VAR MEATS&BY-PRODUCTS,TONGUE,RAW",Свинина,Язык,Мясо,Свинина — Язык,225.0,65.9,16.3,0.0,17.2,0.9,0.0,101.0,0.0,16.0,193.0,18.0,110.0,243.0,3.35,0.07,3.01,0.011,10.4,7.7,0.0,0.0,0.29,0.0,0.49,0.485,5.3,0.641,0.24,0.0,2.84,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.08,0.0,0.0,0.0
"PORK,FRSH,VAR MEATS&BY-PRODUCTS,TAIL,RAW",Свинина,Хвост,Мясо,Свинина — Хвост,378.0,46.05,17.75,0.0,33.5,0.5,0.0,97.0,0.0,18.0,50.0,8.0,63.0,349.0,0.99,0.084,2.31,0.011,2.7,0.0,0.0,0.0,0.0,0.0,0.21,0.11,2.06,0.673,0.37,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.19,0.28,0.21,0.0,0.0
"ARTICHOKES,(GLOBE OR FRENCH),RAW",Артишоки,Обыкновенный,Зелень и специи,Артишоки — Обыкновенный,47.0,84.94,3.27,10.51,0.15,1.13,5.400000095,0.0,0.99000001,44.0,90.0,60.0,94.0,370.0,1.28,0.231,0.49,0.256,0.2,0.0,34.0,1.0,0.19,0.0,0.072,0.066,1.046,0.338,0.116,0.0,0.0,11.7,14.8,0.0,8.0,0.0,464.0,0.0,0.0,0.046,0.017,0.0,0.0,0.0
"ASPARAGUS,RAW",Спаржа,Обыкновенный,Зелень и специи,Спаржа — Обыкновенный,20.0,93.22,2.2,3.88,0.12,0.58,2.099999905,0.0,1.879999995,24.0,52.0,14.0,2.0,202.0,2.14,0.189,0.54,0.158,2.3,0.7,16.0,38.0,1.13,0.0,0.143,0.141,0.978,0.274,0.091,0.0,0.0,5.6,41.6,9.0,449.0,0.0,710.0,0.0,0.0,0.04,0.01,0.0,0.0,0.0
"BEANS,KIDNEY,MATURE SEEDS,SPROUTED,RAW",Фасоль,"Красная, Пророщенные",Овощи и фрукты,"Фасоль — Красная, Пророщенные",29.0,90.7,4.2,4.1,0.5,0.5,0.0,0.0,0.0,17.0,37.0,21.0,6.0,187.0,0.81,0.159,0.4,0.182,0.6,1.0,0.0,0.0,0.0,0.0,0.37,0.25,2.92,0.368,0.085,0.0,0.0,38.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.107,0.169,0.0,0.0,0.0
"BEANS,NAVY,MATURE SEEDS,SPROUTED,RAW",Фасоль,"Белая, Пророщенные",Овощи и фрукты,"Фасоль — Белая, Пророщенные",67.0,79.15,6.15,13.05,0.7,0.95,0.0,0.0,0.0,15.0,100.0,101.0,13.0,307.0,1.93,0.356,0.89,0.408,0.6,1.0,0.0,0.0,0.0,0.0,0.39,0.215,1.22,0.825,0.191,0.0,0.0,18.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.147,0.26,0.0,0.0,0.0
